Use;UpDown;LeftRight;InitHP;MaxHP;Speed;OrientationX;OrientationY;Puzzle;Shooting;Destroying;Collecting;Coloring;Positioning;Pushing;InstantWin;Creating;Game
N;Y;Y;0.0;1.0;1.0;0.0;0.0;N;N;N;N;N;N;N;N;N;camelRace
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;N;N;Y;Y;Y;N;Y;N;N;digdug
N;Y;Y;0.001;1.0;1.0;0.0;0.0;N;N;N;Y;N;N;N;N;N;firestorms
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;N;N;Y;Y;N;Y;N;N;N;infection
Y;Y;Y;0.003;1.0;1.0;1.0;0.0;Y;N;Y;Y;N;N;N;N;N;firecaster
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;N;N;Y;Y;Y;N;N;N;N;overload
N;Y;Y;0.0;1.0;0.5;1.0;0.0;N;N;Y;Y;N;Y;N;N;N;pacman
Y;Y;Y;0.9;0.02;1.0;1.0;0.0;N;N;N;Y;N;N;N;N;N;seaquest
N;Y;Y;0.0;1.0;1.0;0.0;0.0;N;N;N;Y;N;N;N;N;N;whackamole
Y;N;Y;0.0;1.0;1.0;0.0;0.0;N;Y;N;Y;N;N;Y;N;N;eggomania
N;Y;Y;0.0;1.0;1.0;0.0;0.0;N;N;Y;N;N;N;Y;N;N;camelRace
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;N;N;Y;Y;Y;N;Y;N;N;digdug
N;Y;Y;0.001;1.0;1.0;0.0;0.0;Y;N;N;Y;Y;N;N;N;N;firestorms
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;N;N;Y;Y;N;Y;N;N;N;infection
Y;Y;Y;0.003;1.0;1.0;1.0;0.0;Y;N;Y;Y;Y;N;N;N;N;firecaster
Y;Y;Y;0.0;1.0;1.0;1.0;0.0;Y;N;Y;Y;N;N;N;N;N;overload
N;Y;Y;0.0;1.0;0.5;1.0;0.0;Y;N;N;Y;N;Y;Y;N;N;pacman
